,algorithms.optimizer,algorithms.otheralgorithms,algorithms.otheralgorithms-1,algorithms.otheralgorithms-2,algorithms.otheralgorithms-3,algorithms.otheralgorithms-4,algorithms.otheralgorithms-5,algorithms.reinforcementlearning,algorithms.reinforcementlearning-1,algorithms.reinforcementlearning-2,algorithms.reinforcementlearning-3,algorithms.reinforcementlearning-4,algorithms.reinforcementlearning-5,algorithms.reinforcementlearning-6,algorithms.reinforcementlearning-7,algorithms.reinforcementlearning-8,algorithms.reinforcementlearning-9,classicml,ignore,ignore-1,ignore-2,ignore-3,ignore-4,ignore-5,neuralnetworks,neuralnetworks-1,neuralnetworks-2,neuralnetworks-3,neuralnetworks-4,neuralnetworks.attentionnetwork,neuralnetworks.autoencoder,neuralnetworks.autoencoder-1,neuralnetworks.autoencoder-2,neuralnetworks.convolutionalneuralnetwork,neuralnetworks.convolutionalneuralnetwork-1,neuralnetworks.convolutionalneuralnetwork-2,neuralnetworks.convolutionalneuralnetwork-3,neuralnetworks.convolutionalneuralnetwork-4,neuralnetworks.convolutionalneuralnetwork.resnet,neuralnetworks.convolutionalneuralnetwork.resnet-1,neuralnetworks.convolutionalneuralnetwork.resnet-2,neuralnetworks.convolutionalneuralnetwork.verydeepconvolutionalnetworks,neuralnetworks.convolutionalneuralnetwork.verydeepconvolutionalnetworks-1,neuralnetworks.diffusionmodel,neuralnetworks.diffusionmodel-1,neuralnetworks.diffusionmodel-2,neuralnetworks.diffusionmodel-3,neuralnetworks.diffusionmodel-4,neuralnetworks.generativeadversarialnetwork,neuralnetworks.generativeflownetworks,neuralnetworks.generativeflownetworks-1,neuralnetworks.generativeflownetworks-2,neuralnetworks.generativeflownetworks-3,neuralnetworks.graphneuralnetwork,neuralnetworks.graphneuralnetwork-1,neuralnetworks.graphneuralnetwork-2,neuralnetworks.graphneuralnetwork-3,neuralnetworks.graphneuralnetwork-4,neuralnetworks.graphneuralnetwork-5,neuralnetworks.graphneuralnetwork-6,neuralnetworks.graphneuralnetwork-7,neuralnetworks.multilayerperceptron,neuralnetworks.multilayerperceptron-1,neuralnetworks.recurrentneuralnetwork,neuralnetworks.recurrentneuralnetwork-1,neuralnetworks.recurrentneuralnetwork-2,neuralnetworks.recurrentneuralnetwork-3,neuralnetworks.recurrentneuralnetwork-4,neuralnetworks.recurrentneuralnetwork-5,neuralnetworks.transformer,neuralnetworks.transformer-1,neuralnetworks.transformer-2,neuralnetworks.transformer-3,neuralnetworks.transformer-4,neuralnetworks.transformer-5,neuralnetworks.transformer-6,neuralnetworks.transformer-7,neuralnetworks.transformer.bert,neuralnetworks.transformer.bert-1,neuralnetworks.transformer.bert-2,neuralnetworks.transformer.bert-3,neuralnetworks.transformer.bert-4,neuralnetworks.transformer.bert-5,neuralnetworks.transformer.generativepretrainedtransformer,neuralnetworks.transformer.generativepretrainedtransformer-1,neuralnetworks.transformer.generativepretrainedtransformer-2,neuralnetworks.transformer.generativepretrainedtransformer-3,neuralnetworks.transformer.generativepretrainedtransformer-4,neuralnetworks.transformer.visiontransformer,neuralnetworks.transformer.visiontransformer-1,neuralnetworks.transformer.visiontransformer-2,neuralnetworks.transformer.visiontransformer-3,neuralnetworks.transformer.visiontransformer-4,neuralnetworks.transformer.visiontransformer-5,neuralnetworks.transformer.visiontransformer-6,No Predicted Label
algorithms.optimizer,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
algorithms.otheralgorithms,0,7,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7
algorithms.otheralgorithms-1,0,0,2,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
algorithms.otheralgorithms-2,0,0,0,2,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
algorithms.otheralgorithms-3,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
algorithms.otheralgorithms-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
algorithms.otheralgorithms-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
algorithms.reinforcementlearning,0,1,1,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
algorithms.reinforcementlearning-1,0,2,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
algorithms.reinforcementlearning-2,0,2,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
